Traceback (most recent call last):
  File "/home/ubuntu/clawd/scripts/email_notify_daemon.py", line 32, in <module>
    logging.FileHandler(LOG_FILE),
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1231, in __init__
    StreamHandler.__init__(self, self._open())
                                 ^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1263, in _open
    return open_func(self.baseFilename, self.mode,
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
PermissionError: [Errno 13] Permission denied: '/home/ubuntu/clawd/logs/email_daemon.log'
2026-02-03 13:46:57,161 - INFO - 📧 Email Notification Daemon starting...
2026-02-03 13:46:57,161 - INFO - 📧 Email Notification Daemon starting...
2026-02-03 13:46:57,285 - INFO - Telegram sent: 🏛️ Atlas Email Monitor is now running. I'll alert ...
2026-02-03 13:46:57,285 - INFO - Telegram sent: 🏛️ Atlas Email Monitor is now running. I'll alert ...
2026-02-03 13:46:57,287 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:46:57,287 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:48:57,520 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:48:57,520 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:50:57,758 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:50:57,758 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:50:58,273 - INFO - Telegram sent: 📬 <b>New email from you:</b>

<i>Test</i>

I'll pr...
2026-02-03 13:50:58,273 - INFO - Telegram sent: 📬 <b>New email from you:</b>

<i>Test</i>

I'll pr...
2026-02-03 13:50:58,274 - INFO - New email: Test
2026-02-03 13:50:58,274 - INFO - New email: Test
2026-02-03 13:51:57,214 - INFO - 📧 Email Notification Daemon starting...
2026-02-03 13:51:57,214 - INFO - 📧 Email Notification Daemon starting...
2026-02-03 13:51:57,377 - INFO - Telegram sent: 🏛️ Atlas Email Monitor is now running. I'll alert ...
2026-02-03 13:51:57,377 - INFO - Telegram sent: 🏛️ Atlas Email Monitor is now running. I'll alert ...
2026-02-03 13:51:57,379 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:51:57,379 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:53:57,594 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:53:57,594 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:55:57,821 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:55:57,821 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:57:58,042 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:57:58,042 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:59:58,260 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 13:59:58,260 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:01:58,483 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:01:58,483 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:03:58,701 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:03:58,701 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:05:58,929 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:05:58,929 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:07:59,148 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:07:59,148 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:09:59,380 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:09:59,380 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:11:59,607 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:11:59,607 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:13:59,836 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:13:59,836 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:16:00,068 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:16:00,068 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:18:00,287 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:18:00,287 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:20:00,553 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:20:00,553 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:22:00,781 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:22:00,781 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:24:00,998 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:24:00,998 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:26:01,240 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:26:01,240 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:28:01,457 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:28:01,457 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:28:01,519 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:28:01,519 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:30:01,790 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:30:01,790 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:30:01,858 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:30:01,858 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:32:02,119 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:32:02,119 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:32:02,180 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:32:02,180 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:34:02,433 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:34:02,433 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:34:02,499 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:34:02,499 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:36:02,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:36:02,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:36:02,813 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:36:02,813 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:38:03,084 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:38:03,084 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:38:03,141 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:38:03,141 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:40:03,382 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:40:03,382 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:40:03,472 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:40:03,472 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:42:03,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:42:03,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:42:03,811 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:42:03,811 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:44:04,082 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:44:04,082 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:44:04,144 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:44:04,144 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:46:04,389 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:46:04,389 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:46:04,445 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:46:04,445 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:48:04,700 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:48:04,700 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:48:04,764 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:48:04,764 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:50:05,023 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:50:05,023 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:50:05,094 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:50:05,094 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
